Date,transprob_1,transprob_2,transprob_3,transprob_4,transprob_5,transprob_6,transprob_7,transprob_8,transprob_9
1980-01-01,0.8713861927744232,0.05031104719609292,0.006316593399482005,0.08552081135599097,0.9324754595909724,0.022730209629145324,0.043092995869568974,0.017213493212817964,0.9709531969712419
1980-02-01,0.8798371814098673,0.006529994170905688,0.007374924031269187,0.06952210056779635,0.8825235287242483,0.03318819701581376,0.05064071802250955,0.11094647710468637,0.9594368789530192
1980-03-01,0.8427557929762516,0.07827037128114309,0.011844860616960821,0.15505531125586552,0.8796670851450049,0.052919399341927964,0.0021888957678547942,0.04206254357391662,0.9352357400410829
1980-04-01,0.8395472020883225,0.08658669951998688,0.014498800205144442,0.06284446657754154,0.9012246026688692,0.05925607255593103,0.09760833133421443,0.012188697810902604,0.9262451272388748
1980-05-01,0.8344064654181577,0.09972727184983712,0.006135179793879808,0.15932837610921896,0.8451508294402136,0.019669520792483356,0.006265158472801967,0.05512189870985702,0.9741952994136235
1980-06-01,0.9510956592756503,0.002515015353424134,0.040311717081053584,0.039616910874709414,0.9245394550060911,0.021880662904834355,0.00928742984956351,0.07294552964041086,0.9378076200138963
1980-07-01,0.9446992216689493,0.015594883350058373,0.0057694642737563424,0.04879485153077136,0.9306469606775214,0.03452436270067053,0.00650592680043638,0.0537581559723423,0.9597061730255521
1980-08-01,0.9410045857475748,0.041253827574350546,0.03614854067529904,0.01946408108067708,0.9070269450264168,0.01994509094169648,0.039531333171794296,0.05171922739934813,0.9439063683829385
1980-09-01,0.9447006353069352,0.08168338805592369,0.020476170650113083,0.04800523756597097,0.8142061767532038,0.021384752108133506,0.007294127126962573,0.10411043519081166,0.9581390772418307
1980-10-01,0.9436152008093375,0.09909919421463681,0.01585270970900919,0.02575305194560655,0.8723493115960266,0.0726233983460515,0.030631747244909444,0.02855149418920621,0.9115238919449553
1980-11-01,0.8555944108622835,0.015491049048082422,32905429832292546e-21,0.10849036124227493,0.9126474878042004,0.005814408002338263,0.03591522789531996,0.07186146314769157,0.9941526865677679
1980-12-01,0.919455105148439,0.02008228390590493,0.003202079782944834,0.05154396769598903,0.8766040534112479,0.0692404453587048,0.029000927155601118,0.10331366268281611,0.9275574748583365
1981-01-01,0.9549640497879928,0.03406262817321271,0.02916982917911905,0.020748280103106777,0.9177074713745924,0.02579280914827139,0.024287670109005448,0.04822990045221354,0.945037361672756
1981-02-01,0.8187250317988024,0.038433746330937615,0.0059628851092127155,0.1554843215867398,0.9022646295672284,0.007403674569331991,0.025790646614360726,0.05930162410174023,0.9866334403213936
1981-03-01,0.7674954232215433,0.018439208932668965,0.016617320584344786,0.06518240847852734,0.9396867864828,0.01829427465771494,0.16732216829997845,0.04187400458452512,0.9650884047579817
1981-04-01,0.9292334680340087,0.01557752732227645,0.04329528599446204,0.06303774409649548,0.9377011089273328,0.05669301883223072,0.007728787869445081,0.0467213637502405,0.9000116951731858
1981-05-01,0.8114719382067384,0.022171712597887437,0.03426342502744015,0.1746345173901308,0.9560615569124334,0.021510927213477145,0.01389354440301623,0.02176673048961633,0.9442256477589999
1981-06-01,0.8722936914246698,0.012654577579040985,0.00010578874939714944,0.029219593149269234,0.9173907417158925,0.04260613365477289,0.0984867154260256,0.06995468070518392,0.9572880775958734
1981-07-01,0.9812765876905992,0.06423086550496498,0.01120928847150861,0.0047757988046110336,0.8846936597876551,0.04819097487312193,0.013947613504601417,0.05107547470714823,0.9405997366555523
